emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
😀,grinning face,Smileys & Emotion,face-smiling,1F600,sonriente rostro,[sonriente rostro]
😃,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603,cara sonriendo con los ojos grandes,[cara sonriendo con los ojos grandes]
😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604,cara sonriente con los ojos sonrientes,[cara sonriente con los ojos sonrientes]
😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601,radiante cara con ojos sonrientes,[radiante cara con ojos sonrientes]
😆,grinning squinting face,Smileys & Emotion,face-smiling,1F606,sonriendo cara squinting,[sonriendo cara squinting]
😅,grinning face with sweat,Smileys & Emotion,face-smiling,1F605,sonriendo cara de sudor,[sonriendo cara de sudor]
🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923,rodando en el suelo riendo,[rodando en el suelo riendo]
😂,face with tears of joy,Smileys & Emotion,face-smiling,1F602,cara con lagrimas de alegria,[cara con lagrimas de alegria]
🙂,slightly smiling face,Smileys & Emotion,face-smiling,1F642,sonriendo ligeramente la cara,[sonriendo ligeramente la cara]
🙃,upside-down face,Smileys & Emotion,face-smiling,1F643,la cara al reves,[la cara al reves]
😉,winking face,Smileys & Emotion,face-smiling,1F609,cara guinando,[cara guinando]
😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A,cara sonriente con los ojos sonrientes,[cara sonriente con los ojos sonrientes]
😇,smiling face with halo,Smileys & Emotion,face-smiling,1F607,cara sonriente con halo,[cara sonriente con halo]
🥰,smiling face with hearts,Smileys & Emotion,face-affection,1F970,cara sonriente con el corazon,[cara sonriente con el corazon]
😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D,cara sonriente con el corazon-ojos,[cara sonriente con el corazon-ojos]
🤩,star-struck,Smileys & Emotion,face-affection,1F929,golpeo estrellas,[golpeo estrellas]
😘,face blowing a kiss,Smileys & Emotion,face-affection,1F618,enfrentar sopla un beso,[enfrentar sopla un beso]
😗,kissing face,Smileys & Emotion,face-affection,1F617,besar la cara,[besar la cara]
☺️,smiling face,Smileys & Emotion,face-affection,263A FE0F,cara sonriente,[cara sonriente]
☺,smiling face,Smileys & Emotion,face-affection,263A,cara sonriente,[cara sonriente]
😚,kissing face with closed eyes,Smileys & Emotion,face-affection,1F61A,besar a cara con los ojos cerrados,[besar a cara con los ojos cerrados]
😙,kissing face with smiling eyes,Smileys & Emotion,face-affection,1F619,besar a cara con ojos sonrientes,[besar a cara con ojos sonrientes]
🥲,smiling face with tear,Smileys & Emotion,face-affection,1F972,cara sonriente con desgarro,[cara sonriente con desgarro]
😋,face savoring food,Smileys & Emotion,face-tongue,1F60B,comida cara saboreo,[comida cara saboreo]
😛,face with tongue,Smileys & Emotion,face-tongue,1F61B,cara con la lengua,[cara con la lengua]
😜,winking face with tongue,Smileys & Emotion,face-tongue,1F61C,guino de la cara con la lengua,[guino de la cara con la lengua]
🤪,zany face,Smileys & Emotion,face-tongue,1F92A,cara estrafalario,[cara estrafalario]
😝,squinting face with tongue,Smileys & Emotion,face-tongue,1F61D,squinting cara con la lengua,[squinting cara con la lengua]
🤑,money-mouth face,Smileys & Emotion,face-tongue,1F911,la cara del dinero-boca,[la cara del dinero-boca]
🤗,hugging face,Smileys & Emotion,face-hand,1F917,cara abrazos,[cara abrazos]
🤭,face with hand over mouth,Smileys & Emotion,face-hand,1F92D,cara con la mano sobre la boca,[cara con la mano sobre la boca]
🤫,shushing face,Smileys & Emotion,face-hand,1F92B,cara callar,[cara callar]
🤔,thinking face,Smileys & Emotion,face-hand,1F914,cara pensamiento,[cara pensamiento]
🤐,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,1F910,cremallera boca a boca,[cremallera boca a boca]
🤨,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,1F928,cara con la ceja levantada,[cara con la ceja levantada]
😐,neutral face,Smileys & Emotion,face-neutral-skeptical,1F610,cara neutral,[cara neutral]
😑,expressionless face,Smileys & Emotion,face-neutral-skeptical,1F611,rostro inexpresivo,[rostro inexpresivo]
😶,face without mouth,Smileys & Emotion,face-neutral-skeptical,1F636,cara sin boca,[cara sin boca]
😏,smirking face,Smileys & Emotion,face-neutral-skeptical,1F60F,cara smirking,[cara smirking]
